course_code,type,course_name,description,prerequisites,credits
CISC 1590,Elective,Management Information Systems,"Management information systems as a business resource for achieving competitive advantage. The major IT applications used in business and how they enable competitiveness. The central role that relational databases and data warehouses play in the business world. How IT has enabled and accelerated the growth of e-commerce. The role of decision support systems and artificial intelligence in business. Overview and impact of IT infrastructure design. System Development Lifecycle, project management, outsourcing, offshoring and its impact on the US economy. Information security, intellectual property rights, copyright and patent law on a national and international level. New trends in technology and their potential impact on industry. Case studies and team project are required. This course is the same as Business 3420. (Not open to students who have completed Business 3420 [31.3].)",['CISC 1050; or permission of the chairperson'],3
CISC 1597,Elective,New Media and Business,"The history, theory, and practice of new media in today's networked society and how this affects the profit and not-for-profit sectors; the implications of the convergence of technology and convergence of disciplines; Internet marketing; and the societal implications of the new connectedness. The latest research on the impact of second generation web-based media such as social networking, blogs, wikis, and virtual communities will be examined. This course will focus on how the new media is being used and/or should be used by the corporate world. This course is the same as Television, Radio and Emerging Media 3537 and Business 3110.",['Sophomore status or permission of the chairperson'],3
CISC 1600,Elective,Intro to Multimedia Computing,"Introduction to multimedia topics, including: web design, game design, animation, data visualization, simulation and robotics. Introduction to multimedia hardware and software, including game boxes. Human interface design and input using multimedia devices. Graphical and other forms of output to multimedia devices. Emphasis on design and creation of web pages with HTML and cascading style sheets; interactive, graphical web-based programs; simple computer games, movies and narratives. Computer-based sound editing. Introduction to agent-based programming for simulations and robotics. Uses of multimedia in industry. Hands-on exercises.",['None'],3
CISC 2531,Elective,Operations Management,"Study in managerial decision making to solve a wide range of operating management problems. Topics covered include: planning, evaluation and control of operations; forecasting and inventory management; scheduling; project design and management; resource allocation; queuing models; quality of the work environment; and technological change. Design and implementation of management strategy will be emphasized through computer simulation, problems, and cases. This course is the same as Business 3430. Not open to students who have enrolled in or have completed Mathematics 3606.","['CISC 1050, or 1115, or 1170; CISC 2210, or Business 3400, or Psychology 3400, or Economics 3400, or Mathematics 2501, or Mathematics 3501']",3
CISC 2590,Elective,Foundation Business Analysis,"Introduction to business analytics; kinds of analytics: descriptive/prescriptive/predictive; data mining and big data; data visualization; dashboards for organizational performance management; data warehouses and data marts; text and web mining; business issues in analytics. Cases, articles, projects and hands-on analytics software use. This course is the same as Business 3421.","['Business 3400, Economics 3400, Mathematics 1501, Psychology 3400, or an equivalent statistics course with a grade of C or better; and CISC 1050 or proficiency with spreadsheets']",3
CISC 2600,Elective,Music Computing,"Introduction to how computers can be used for a range of artistic, scientific, and technological musical applications. This course has a particular focus on the creation and control of digital sound through digital signal processing, sound analysis, and sound synthesis. Applications of these techniques to composition, sound design, new musical instruments, and games will be explored. This course is the same as Music 3264.",['Music 3260'],3
CISC 3160,Elective,Programming Languages,"The design, implementation, and evolution of programming languages. Language features and their effects upon translation and run-time environments. Languages studied are chosen for their historical and current significance, programming paradigm, and run-time environment. Syntax and semantic specification; formal grammars.",['CISC 3142'],4
CISC 3171,Elective,Introduction to Software Engineering,"A broad view of software engineering that introduces a variety of software engineering techniques that can be applied to practical software projects. Topics include: process models, software specification, software design, software development methods and tools, verification and validation, reliability, and human factors.",['CISC 3130'],3
CISC 3225,Elective,Data Tools and Algorithms,"Tools for effective programming in Python. Data acquisition, munging, and visualization. Major categories of data algorithms including ranking algorithms, tree algorithms, network algorithms and clustering algorithms. Visualization of data. Introduction to important methods of artificial intelligence including machine learning and neural networks to reach logical conclusions from data aggregations.",['CISC 1215; CISC 2210 or Mathematics 2001'],3
CISC 3230,Elective,Theoretical Computer Science,"Overview of theoretical computer science. Formal language theory, computability theory. Finite automata, context-free and regular grammars, push-down automata, and Turing machines. Other models of computation, including recursive functions. Universal program and unsolvability.",['CISC 2210 and CISC 3130 and MATH 1201'],3
CISC 3325,Elective,Information Security,"Principles and practices of computer and network security. Fundamental concepts and principles of computer security, basic cryptography, authentication and access control, Internet vulnerability (malware, DoS attacks, etc), intrusion detection systems, firewalls, software and operating system security, database security, web and wireless security, managerial and ethical issues in computer security. Lab and project activities such as the use of network probing for illustrative and diagnostic purposes; security tool choice, deployment and configuration; secure programming techniques.",['CISC 3320'],3
CISC 3340,Elective,Computer Networks and Protocols,Computer networks and protocols. Network topologies and switching mechanisms. Protocol concepts and characteristics. Network protocol architectures. Physical layer concepts. Data link layer functions and protocols. Network layer concepts. Network access protocols. Local area networks and protocols. Internetworking. Transport layer functions and protocols. Upper layer issues and approaches. Application program interfaces. Network examples.,['CISC 3130; CISC 3310; and MATH 2501'],3
CISC 3350,Elective,Workstation Programming,"Programming techniques for development of applications on networks of workstations. Process environments, file system issues. Concurrent programming, interprocess communication. Graphical user interfaces, event-driven programming. Distributed programming; remote process creation, the client-server model, message passing.",['CISC 3130'],3
CISC 3410,Elective,Artificial Intelligence,"Techniques for making computers exhibit intelligent behavior. Topics covered are taken from the areas of problem solving, perception, game playing, knowledge representation, natural language understanding, programs that learn (adaptive programs), expert systems, and programming languages for work in artificial intelligence.",['CISC 3130'],3
CISC 3415,Elective,Principles of Robotics,"Basic principles of mobile robotics: architectures, mathematical foundations, control algorithms, human robot interaction, and practical applications. Applications include robots in the home, and robots in search and rescue work. Involves programming different kinds of robots.",['CISC 3130 and 2210'],3
CISC 3440,Elective,Machine Learning,"An introduction to machine learning for students with some mathematical maturity. Topics include: machine learning in relation to artificial intelligence, data sources and characteristics, linear and non-linear regression, machine learning concepts like the bias-variance tradeoff, linear and non-linear classification, hidden Markov models and the expectation-maximization algorithm, unsupervised learning, and deep learning. Examples will be drawn from several domains including natural language processing.",['CISC 3130 or 3225; MATH 2501 or 3501 or CISC 2210.'],3
CISC 3610,Elective,Introduction to Multimedia Computing,In-depth study of multimedia programming. Multimedia authoring tools. Graphical user interface design. Multimedia project development. Effective use of media elements in a computer application and on the World Wide Web.,['CISC 3115'],3
CISC 3620,Elective,Computer Graphics,"Fundamentals of computer graphics programming. Graphics hardware and software standards. 2D geometric primitives and raster images. 3D object representations. Data structures, algorithms, and the graphics pipeline. Graphical user interfaces. Underlying concepts in computer graphics systems, including games, animation, modeling, rendering, and paint systems.",['CISC 3130; and MATH 1011 or 1012 or 1026 or assignment to MATH *1201 by the Department of Mathematics'],3
CISC 3630,Elective,Multimedia Computing,"A survey of the interrelationship of state-of-the-art communication and computer technology. Hardware, software, and system design issues in the multimedia presentation of information. Multimedia standards. Audio and video compression techniques. Hypermedia database systems. Programming and the use of multimedia authoring systems. Survey of representative hypermedia applications.",['CISC 3130'],3
CISC 3650,Elective,Human-Computer Interaction,Overview of human-computer interfaces with an emphasis on classical and state-of-the-art approaches. Principles of human-computer interaction and human-robot interaction. Ubiquitous computing and interfaces for mobile devices. Interfaces employing speech recognition and computer vision. Sensor and robotic technologies. Computer supported cooperative work. Virtual and augmented realities.,['CISC 3115'],3
CISC 3667,Elective,Game Design and Development,"An introduction to game design and programming. Topics include analysis of existing games, game mechanics, social games. Game development using a game engine, including the use of assets and prefabs, movement, animations, audio and data persistence. Multi-week individual and small group assignments in game design and development. (Not open to students who have taken CISC 3660 or CISC 3665.)",['CISC 3130'],4
CISC 3810,Elective,Database Systems,"Introduction to database systems. Comparison to file processing systems. Data models. Relational, hierarchical, and network systems. Database design. Normal forms. Study of several real-world database management systems, with an emphasis on microcomputer applications. Database recovery query and transaction processing, concurrency. Distributed and object-oriented databases.",['CISC 3130'],3
CISC 4331,Elective,System and Network Administration,"Installation, configuration, and maintenance of an operating system. Configuration of routers, networks, and sub-networks. Installation, configuration, and maintenance of network utilities such as email, web server, and other services. Use of network diagnostic tools. Identification and repair of network and configuration problems.",['CISC 3350 or permission of the chairperson.'],3
CISC 4610,Elective,Multimedia Database,"Multimedia data types and formats. Multimedia computer database design issues. Indexing and automated retrieval of text documents, audio files, images and video. Techniques and data structures for efficient multimedia similarity search. System support for distributed multimedia databases. Measurement of multimedia information retrieval effectiveness. Products, applications, and new developments.","['CISC 3810, 3635 or 3630']",3
CISC 4800,Elective,Special Topics in Computer Science,This course covers advanced and specialized topics in computer science that are of current interest to faculty and students but not fully explored in regular course offerings. Course description can be obtained from the department office prior to registration,['CISC 3130; and permission of the chairperson.'],3
CISC 1115,Required,Introduction to Programming Using Java,"Algorithms, computers and programs. Writing, debugging, and testing programs. Loops and conditional control structures. Method definition and parameter passing. Arrays, ArrayLists, and Strings. Sorting, searching and other basic algorithms. Input and output. Programming applications selected from various disciplines. History and basic concepts of computer science.",['None'],4
CISC 3115,Required,Introduction to Modern Programming Techniques,"A second course in programming. Programming techniques emphasizing reliability, maintainability, and reusability. Multi-file programs. Abstract data types. Objects, classes, and object-oriented design. Test suites, test drivers, and testing strategies; debugging, assertions, and an introduction to formal techniques. Recursion, event-driven programming and threads, GUI programming, and simple network programming.",['CISC 1115 or 1170'],4
CISC 2210,Required,Introduction to Discrete Structures (Discrete Mathematics),"Elementary set theory, functions, relations, and Boolean algebra. Switching circuits, gating networks. Definition and analysis of algorithms. Applications of graph theory to computer science. Related algorithms. Introduction to combinatorial computing and counting arguments. Introduction to error analysis.",['CISC 1115 or 1170 or 1215; and MATH 1101 or 1012'],3
CISC 3130,Required,Data Structures,"Container classes: their design, implementations, and applications. Sequences: vectors, linked lists, stacks, queues, deques, lists. Associative structures: sets, maps and their hash and tree underlying representations. Sorting and searching techniques. Collection frameworks and hierarchies.",['CISC 3115; and either 1115 or 1170'],4
CISC 3310,Required,Principles of Computer Architecture,"Introduction to digital logic. Basic digital circuits. Boolean algebra and combinational logic, data representation and transfer, digital arithmetic. Instruction sets. Introduction to assembly languages: ALU and memory reference instructions, flow control, subroutine linkage, arrays and structures. Memory. I/O systems. Performance. Relationship between software and architecture.",['CISC 1115 or 1170; and CISC 2210'],4
CISC 2820W,Required,Computers and Ethics,"Analysis of ethical issues pertaining to computers and the workplace, anonymity and privacy, copyright and patent law (as applied to software), computer crime, security, unauthorized use, codes of conduct for computer professionals, access and availability of computing technologies. Application of theoretical frameworks such as virtue ethics, deontological theories and utilitarianism to the ethical problems encountered in computing technologies. Writing intensive course. (This course is the same as Philosophy 3318W.)",['CISC 1115 or 1170; and English 1012'],3
CISC 3142,Required,Programming Paradigms in C++,"An introduction to C++ and its roles providing support for object-oriented programming, generic programming, procedural programming, and low-level programming. The C++ memory model, and topics in explicit memory management. Storage classes, scope, and compilation stages. The Standard Template Library. Comparison with Java.",['CISC 1115 or 1170; and both CISC 3115 and 3130'],3
CISC 3320,Required,Operating Systems,"Design and implementation of operating systems for large computers. Multiprogramming, multiprocessing, time sharing. Resource allocation and scheduling. Communications, conversational computing, computer networks. Memory protection, interrupts, segmentation, paging, and virtual memories.","['CISC 3130, and CISC 3310']",3
CISC 3220,Required,Analysis of Algorithms,"Algorithms, data structures, and their analysis. Applications for and solution to recurrence problems. Upper and lower bounds on complexities of various problems. Classification by design structures. Sorting methods, graph and selection algorithms. Pattern matching. Efficient computation of transitive closure and equivalences. NP-completeness.",['CISC 2210 and CISC 3130 and MATH 1201'],3
CISC 3140,Required,Design and Implementation of Large-Scale Web Applications,"Overview of design and implementation of large-scale application concerns. Team-based software development methodologies, tools, and high-impact practice. Separation of structure, style, and behavior. Interpreted and/or declarative languages, dynamic types, functional programming, prototypal classes, and closures. Networked machine communication. Simple database operations.",['CISC 3115 and CISC 3130'],3
CISC 4900,Required,Independent and Group Projects I,Planning and development of a real computer systems project supervised by a faculty member. Projects may involve group participation. Achievement measured by demonstrable attainment of the project's goals. Written report.,['CISC 3130 and a CISC course numbered above 3130; and permission of the chairperson.'],3
